"epiweek_recolec","count_undetermined","count_unprocessed","count_all_resul_inf_a_all","count_all_resul_inf_b_all","count_all_resul_inf_all","count_all_resul_rsv_all","count_all_resul_sars_all","count_all_resul_covid_19_all","count_all_resul_sars_covid_all","count_all_resul_virus_all","count_neg_resul_inf_a_all","count_neg_resul_inf_b_all","count_neg_resul_inf_all","count_neg_resul_rsv_all","count_neg_resul_sars_all","count_neg_resul_covid_19_all","count_neg_resul_sars_covid_all","count_neg_resul_virus_all","count_pos_resul_inf_a_all","count_pos_resul_inf_b_all","count_pos_resul_inf_all","count_pos_resul_rsv_all","count_pos_resul_sars_all","count_pos_resul_covid_19_all","count_pos_resul_sars_covid_all","count_pos_resul_virus_all","pct_pos_resul_inf_a_all","pct_pos_resul_inf_b_all","pct_pos_resul_inf_all","pct_pos_resul_rsv_all","pct_pos_resul_sars_all","pct_pos_resul_covid_19_all","pct_pos_resul_sars_covid_all","pct_pos_resul_virus_all"
2021-05-31,0,0,2,2,0,2,0,2,2,2,2,2,0,1,0,1,1,0,0,0,0,1,0,1,1,2,0,0,0,50,0,50,50,100
2021-06-07,0,0,5,5,0,5,0,5,5,5,5,5,0,5,0,2,2,0,0,0,0,0,0,3,3,5,0,0,0,0,0,60,60,100
2021-06-14,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2021-06-21,0,0,7,7,0,7,2,5,7,7,7,7,0,7,2,1,3,0,0,0,0,0,0,4,4,7,0,0,0,0,0,80,57.1428571428571,100
2021-06-28,0,0,3,3,0,3,0,3,3,3,3,3,0,2,0,2,2,0,0,0,0,1,0,1,1,3,0,0,0,33.3333333333333,0,33.3333333333333,33.3333333333333,100
2021-07-05,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,100,100,100
2021-07-12,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100
2021-07-19,0,0,5,5,0,5,0,5,5,5,5,5,0,5,0,2,2,0,0,0,0,0,0,3,3,5,0,0,0,0,0,60,60,100
2021-07-26,0,0,5,5,0,5,1,4,5,5,5,5,0,5,1,4,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,100
2021-08-09,0,0,5,5,0,5,0,5,5,5,5,5,0,4,0,2,2,0,0,0,0,1,0,3,3,5,0,0,0,20,0,60,60,100
2021-08-16,0,0,8,8,0,8,0,8,8,8,8,8,0,8,0,6,6,0,0,0,0,0,0,2,2,8,0,0,0,0,0,25,25,100
2021-08-23,0,0,4,4,0,4,0,4,4,4,4,4,0,4,0,3,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,25,25,100
2021-08-30,0,0,7,7,0,7,1,6,7,7,7,7,0,7,1,2,3,0,0,0,0,0,0,4,4,7,0,0,0,0,0,66.6666666666667,57.1428571428571,100
2021-09-06,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,50,50,100
2021-09-13,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,100,100,100
2021-09-20,0,0,3,3,0,3,0,3,3,3,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100
2021-09-27,0,0,3,3,0,3,0,3,3,3,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100
2021-10-04,0,0,6,6,0,6,0,6,6,6,6,6,0,6,0,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100
2021-10-11,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,100,100,100
2021-10-25,0,0,2,2,0,2,0,2,2,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
